"estimate","lower","upper","onset_date","n.reported"
1,1,1,2020-03-29,1
2,2,2,2020-03-30,2
0,0,1,2020-03-31,NA
1,1,2,2020-04-01,1
0,0,1,2020-04-02,NA
0,0,0,2020-04-03,NA
0,0,0,2020-04-04,NA
0,0,0,2020-04-05,NA
0,0,0,2020-04-06,NA
0,0,0,2020-04-07,NA
0,0,0,2020-04-08,NA
0,0,0,2020-04-09,NA
0,0,0,2020-04-10,NA
0,0,0,2020-04-11,NA
0,0,0,2020-04-12,NA
0,0,0,2020-04-13,NA
0,0,0,2020-04-14,NA
0,0,0,2020-04-15,NA
0,0,1,2020-04-16,NA
0,0,1,2020-04-17,NA
0,0,1,2020-04-18,NA
0,0,1,2020-04-19,NA
0,0,1,2020-04-20,NA
0,0,1,2020-04-21,NA
0,0,2,2020-04-22,NA
0,0,2,2020-04-23,NA
0,0,2,2020-04-24,NA
