"estimate","lower","upper","onset_date","n.reported"
1,1,1,2020-03-09,1
0,0,0,2020-03-10,NA
0,0,0,2020-03-11,NA
0,0,0,2020-03-12,NA
0,0,0,2020-03-13,NA
0,0,0,2020-03-14,NA
1,1,2,2020-03-15,1
0,0,1,2020-03-16,NA
1,1,2,2020-03-17,1
2,2,4,2020-03-18,2
4,4,6,2020-03-19,4
3,3,5,2020-03-20,3
0,0,2,2020-03-21,NA
6,6,9.02499999999964,2020-03-22,6
2,2,5,2020-03-23,2
4,4,8,2020-03-24,4
5,4,8,2020-03-25,4
6,5,9,2020-03-26,5
8,7,12,2020-03-27,7
7,6,12,2020-03-28,6
16,14,23,2020-03-29,14
10,8,15,2020-03-30,8
12,10,18,2020-03-31,10
6,5,11,2020-04-01,5
14,12,21,2020-04-02,12
12,10,19,2020-04-03,10
19,16,27,2020-04-04,16
20,17,29,2020-04-05,17
12,10,18,2020-04-06,10
6,5,10,2020-04-07,5
2,2,5,2020-04-08,2
0,0,1,2020-04-09,NA
0,0,1,2020-04-10,NA
0,0,1,2020-04-11,NA
0,0,1,2020-04-12,NA
0,0,1,2020-04-13,NA
0,0,1,2020-04-14,NA
0,0,1,2020-04-15,NA
0,0,1,2020-04-16,NA
0,0,1,2020-04-17,NA
0,0,1,2020-04-18,NA
0,0,2,2020-04-19,NA
0,0,2,2020-04-20,NA
0,0,3,2020-04-21,NA
0,0,3,2020-04-22,NA
0,0,3,2020-04-23,NA
0,0,4,2020-04-24,NA
