"estimate","lower","upper","onset_date","n.reported"
1,1,1,2020-03-12,1
0,0,0,2020-03-13,NA
2,2,2,2020-03-14,2
0,0,0,2020-03-15,NA
1,1,2,2020-03-16,1
1,1,2,2020-03-17,1
1,1,2,2020-03-18,1
0,0,1,2020-03-19,NA
0,0,1,2020-03-20,NA
1,1,2,2020-03-21,1
0,0,1,2020-03-22,NA
1,1,2,2020-03-23,1
0,0,1,2020-03-24,NA
0,0,2,2020-03-25,NA
5,5,9,2020-03-26,5
5,5,10,2020-03-27,5
17,15,25,2020-03-28,15
16,14,25,2020-03-29,14
21,19,32,2020-03-30,19
11,10,19,2020-03-31,10
10,9,18,2020-04-01,9
20,18,31,2020-04-02,18
16,14,25,2020-04-03,14
14,12,22,2020-04-04,12
11,10,18,2020-04-05,10
7,6,12,2020-04-06,6
4,4,8,2020-04-07,4
2,2,4,2020-04-08,2
0,0,1,2020-04-09,NA
0,0,1,2020-04-10,NA
0,0,1,2020-04-11,NA
0,0,1,2020-04-12,NA
0,0,1,2020-04-13,NA
0,0,1,2020-04-14,NA
0,0,0,2020-04-15,NA
0,0,1,2020-04-16,NA
0,0,1,2020-04-17,NA
0,0,1,2020-04-18,NA
0,0,1,2020-04-19,NA
0,0,2,2020-04-20,NA
0,0,2,2020-04-21,NA
0,0,2,2020-04-22,NA
0,0,2,2020-04-23,NA
0,0,3,2020-04-24,NA
