District,Person,Male,Female,Sex Ratio,Density,mapped_district
Papum Pare,"1,21,750","64,122","57,628",899,35,North Cachar Hills
Uttarkashi,"2,94,179","1,51,599","1,42,580",941,37,North Cachar Hills
Chandel,"1,22,714","61,778","60,936",986,37,North Cachar Hills
North Cachar Hills,"1,86,189","98,899","87,290",883,38,North Cachar Hills
Serchhip,"55,539","28,445","27,094",953,39,North Cachar Hills
Dantewada,"7,19,065","3,56,502","3,62,563","1,017",41,North Cachar Hills
Kullu,"3,79,865","1,97,035","1,82,830",928,69,North Cachar Hills
Barmer,"19,63,758","10,35,813","9,27,945",896,69,North Cachar Hills
Chamba,"4,60,499","2,34,812","2,25,687",961,71,Karbi Anglong
Phek,"1,48,246","77,082","71,164",923,73,Karbi Anglong
Sikkim,"5,40,493","2,88,217","2,52,276",875,76,Karbi Anglong
Jaintia Hills,"2,95,692","1,49,376","1,46,316",980,77,Karbi Anglong
Karbi Anglong,"8,12,320","4,22,599","3,89,721",922,78,Karbi Anglong
Dindori,"5,79,312","2,90,572","2,88,740",994,78,Karbi Anglong
Ri Bhoi,"1,92,795","99,315","93,480",941,81,Karbi Anglong
Kandhamal,"6,47,912","3,22,674","3,25,238","1,008",81,Karbi Anglong
Chhatarpur,"14,74,633","7,88,845","6,85,788",869,170,Dhemaji
Neemuch,"7,25,457","3,71,972","3,53,485",950,170,Dhemaji
Bijapur,"18,08,863","9,28,550","8,80,313",948,172,Dhemaji
Bundi,"9,61,269","5,03,827","4,57,442",908,173,Dhemaji
Prakasam,"30,54,941","15,49,891","15,05,050",971,173,Dhemaji
Sidhi,"18,30,553","9,47,276","8,83,277",932,174,Dhemaji
South,"1,31,506","68,227","63,279",927,175,Dhemaji
Dhemaji,"5,69,468","2,94,105","2,75,363",936,176,Dhemaji
Anugul,"11,39,341","5,86,903","5,52,438",941,179,Dhemaji
Raigarh,"12,65,084","6,33,993","6,31,091",995,179,Dhemaji
Chitradurga,"15,10,227","7,72,649","7,37,578",955,179,Dhemaji
Mahasamund,"8,60,176","4,26,011","4,34,165","1,019",180,Dhemaji
Yavatmal,"24,60,482","12,67,117","11,93,365",942,181,Dhemaji
Rajauri,"4,78,595","2,53,129","2,25,466",891,182,Dhemaji
Chandrapur,"20,77,909","10,59,875","10,18,034",961,182,Dhemaji
Solapur,"38,55,383","19,90,661","18,64,722",937,259,Golaghat
